timestamp,character,ilvl,boss,at_level,rested,first_time,red,blue,stones
2022-04-14-20:52:33,Jazzercist,1334,Armored Nacrasena,True,False,False,22,69,2
2022-04-15-09:45:28,Jazzercist,1340,Igrexion,True,False,True,54,171,7
2022-04-15-09:53:15,Jazzercist,1340,Igrexion,True,False,False,30,77,5
2022-04-15-11:31:46,Derplearning,1309,Armored Nacrasena,True,True,False,43,130,5
2022-04-15-11:39:16,Derplearning,1309,Armored Nacrasena,True,False,False,23,69,3
2022-04-15-22:22:45,Trif,1370,Night Fox Yoho,True,False,True,68,219,3
2022-04-15-22:35:42,Trif,1370,Night Fox Yoho,True,False,False,36,107,4
2022-04-16-00:08:19,Goberinsrayer,840,Dark Legoros,False,True,False,47,137,6
2022-04-16-00:20:26,Goberinsrayer,840,Helgaia,True,True,False,51,158,8
2022-04-16-10:40:51,Trif,1370,Night Fox Yoho,True,False,False,37,117,-14
2022-04-16-12:10:12,Jazzercist,1340,Igrexion,True,False,False,28,83,4
2022-04-16-12:56:42,Goberinsrayer,896,Calventus,True,True,False,104,326,15
2022-04-16-13:12:55,Goberinsrayer,896,Calventus,True,True,False,71,217,10
2022-04-17-12:22:18,Trif,1370,Night Fox Yoho,True,False,False,38,105,3
2022-04-17-13:56:27,Jazzercist,1342,Igrexion,True,False,False,29,83,4
2022-04-17-14:03:11,Jazzercist,1342,Igrexion,True,False,False,27,84,4
2022-04-17-14:57:56,Kekpuncher,1370,Frost Helgaia,False,True,False,99,306,14
2022-04-17-15:13:23,Kekpuncher,993,Frost Helgaia,True,True,False,101,311,14
